dataset,shot_label,backbone,num_prototypes_per_class,prototype_init,method_variant,cache_entries_values,compression_ratio_values,mean_top1_acc,std_top1_acc,num_seeds,seeds,mean_training_time_sec,mean_inference_time_sec,mean_images_per_second,gpu_memory_mb_values,num_rows,result_file_paths,run_dirs,preflight_report_paths,policy_note
eurosat,1,remoteclip_vit_b32,1,mean,rs_cpc_M1_mean,10,1.0,0.5716666666666667,0.05794876172025455,3,1 2 3,0.0,6.165066985413432,1751.8626800041245,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_1/20260518T015308_2cb11fdc/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_2/20260518T020235_690e0aad/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_3/20260518T021159_a2b1366d/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_1/20260518T015308_2cb11fdc results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_2/20260518T020235_690e0aad results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_3/20260518T021159_a2b1366d,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_012_rs_cpc_seed1_shot1/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022113/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_056_rs_cpc_seed2_shot1/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022213/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_100_rs_cpc_seed3_shot1/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022314/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,1,remoteclip_vit_b32,1,medoid,rs_cpc_M1_medoid,10,1.0,0.5716666666666667,0.05794876172025455,3,1 2 3,0.0,6.2562775282810135,1726.2960493415137,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_1/20260518T015327_4fa427f7/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_2/20260518T020254_4d8a8c8f/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_3/20260518T021218_0d732748/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_1/20260518T015327_4fa427f7 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_2/20260518T020254_4d8a8c8f results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_3/20260518T021218_0d732748,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_014_rs_cpc_seed1_shot1/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022116/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_058_rs_cpc_seed2_shot1/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022216/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_102_rs_cpc_seed3_shot1/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022316/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,1,remoteclip_vit_b32,1,random_group_mean,rs_cpc_M1_random_group_mean,10,1.0,0.5716666666666667,0.05794876172025455,3,1 2 3,0.0,6.157355171317856,1754.0354014153027,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_1/20260518T015317_cd697509/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_2/20260518T020244_a7cc3038/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_3/20260518T021209_5b3c2946/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_1/20260518T015317_cd697509 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_2/20260518T020244_a7cc3038 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_3/20260518T021209_5b3c2946,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_013_rs_cpc_seed1_shot1/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022115/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_057_rs_cpc_seed2_shot1/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022214/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_101_rs_cpc_seed3_shot1/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022315/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,16,remoteclip_vit_b32,1,mean,rs_cpc_M1_mean,10,16.0,0.7258024691358025,0.011766669192537141,3,1 2 3,0.0,6.218594978253047,1737.422673002328,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_1/20260518T015757_ae1e24f0/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_2/20260518T020723_59354275/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_3/20260518T021646_43ac3fea/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_1/20260518T015757_ae1e24f0 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_2/20260518T020723_59354275 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_3/20260518T021646_43ac3fea,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_036_rs_cpc_seed1_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022146/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_080_rs_cpc_seed2_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022246/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_124_rs_cpc_seed3_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022346/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,16,remoteclip_vit_b32,1,medoid,rs_cpc_M1_medoid,10,16.0,0.6987037037037037,0.014920916354432386,3,1 2 3,0.0,6.150392387683193,1756.1215320387662,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_1/20260518T015905_75da690a/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_2/20260518T020831_eb931f27/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_3/20260518T021753_8e34718e/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_1/20260518T015905_75da690a results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_2/20260518T020831_eb931f27 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_3/20260518T021753_8e34718e,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_041_rs_cpc_seed1_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022153/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_085_rs_cpc_seed2_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022253/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_129_rs_cpc_seed3_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022353/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,16,remoteclip_vit_b32,1,random_group_mean,rs_cpc_M1_random_group_mean,10,16.0,0.7258024691358025,0.011766669192537141,3,1 2 3,0.0,6.155079344908397,1754.7215018524646,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_1/20260518T015806_c8533cee/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_2/20260518T020732_578a7e8d/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_3/20260518T021655_09837043/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_1/20260518T015806_c8533cee results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_2/20260518T020732_578a7e8d results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_3/20260518T021655_09837043,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_037_rs_cpc_seed1_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022147/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_081_rs_cpc_seed2_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022248/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_125_rs_cpc_seed3_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022348/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,16,remoteclip_vit_b32,2,medoid,rs_cpc_M2_medoid,20,8.0,0.6462962962962963,0.021945030465686695,3,1 2 3,0.0,8.16843369603157,1322.172167432751,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_1/20260518T015916_4b368d1b/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_2/20260518T020842_0025c166/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_3/20260518T021804_b4afd544/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_1/20260518T015916_4b368d1b results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_2/20260518T020842_0025c166 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_3/20260518T021804_b4afd544,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_042_rs_cpc_seed1_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022154/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_086_rs_cpc_seed2_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022255/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_130_rs_cpc_seed3_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022355/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,16,remoteclip_vit_b32,2,random_group_mean,rs_cpc_M2_random_group_mean,20,8.0,0.8064814814814815,0.01287936003658527,3,1 2 3,0.0,8.243971673150858,1310.071859529152,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_1/20260518T015817_aad4b555/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_2/20260518T020743_75ccbe0a/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_3/20260518T021706_835330c5/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_1/20260518T015817_aad4b555 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_2/20260518T020743_75ccbe0a results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_3/20260518T021706_835330c5,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_038_rs_cpc_seed1_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022148/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_082_rs_cpc_seed2_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022249/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_126_rs_cpc_seed3_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022349/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,16,remoteclip_vit_b32,4,medoid,rs_cpc_M4_medoid,40,4.0,0.7046913580246913,0.04208609200644488,3,1 2 3,0.0,12.198981647069255,885.3534843299661,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_1/20260518T015931_8b011395/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_2/20260518T020857_df7c34e2/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_3/20260518T021820_118b6d4d/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_1/20260518T015931_8b011395 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_2/20260518T020857_df7c34e2 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_3/20260518T021820_118b6d4d,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_043_rs_cpc_seed1_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022155/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_087_rs_cpc_seed2_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022256/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_131_rs_cpc_seed3_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022356/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,16,remoteclip_vit_b32,4,random_group_mean,rs_cpc_M4_random_group_mean,40,4.0,0.8251851851851851,0.011226255234242683,3,1 2 3,0.0,12.290243787690997,878.8840537187294,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_1/20260518T015832_f28033e8/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_2/20260518T020758_0db3d496/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_3/20260518T021721_40f22602/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_1/20260518T015832_f28033e8 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_2/20260518T020758_0db3d496 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_3/20260518T021721_40f22602,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_039_rs_cpc_seed1_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022150/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_083_rs_cpc_seed2_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022251/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_127_rs_cpc_seed3_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022351/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,16,remoteclip_vit_b32,8,medoid,rs_cpc_M8_medoid,80,2.0,0.7485802469135803,0.03765108263751339,3,1 2 3,0.0,20.70312552091976,521.9928623343351,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_1/20260518T015955_ea1a8364/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_2/20260518T020920_655db868/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_3/20260518T021844_f572bda0/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_1/20260518T015955_ea1a8364 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_2/20260518T020920_655db868 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_3/20260518T021844_f572bda0,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_044_rs_cpc_seed1_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022157/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_088_rs_cpc_seed2_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022257/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_132_rs_cpc_seed3_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022357/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,16,remoteclip_vit_b32,8,random_group_mean,rs_cpc_M8_random_group_mean,80,2.0,0.8111111111111112,0.01606421441934949,3,1 2 3,0.0,20.263638593256474,533.0207210651923,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_8/random_group_mean/seed_1/20260518T015855_1028f2e6/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_8/random_group_mean/seed_2/20260518T020822_005b9ad8/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_8/random_group_mean/seed_3/20260518T021744_ec9b8125/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_8/random_group_mean/seed_1/20260518T015855_1028f2e6 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_8/random_group_mean/seed_2/20260518T020822_005b9ad8 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_16/M_8/random_group_mean/seed_3/20260518T021744_ec9b8125,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_040_rs_cpc_seed1_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022151/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_084_rs_cpc_seed2_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022252/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_128_rs_cpc_seed3_shot16/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022352/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,2,remoteclip_vit_b32,1,mean,rs_cpc_M1_mean,10,2.0,0.6305555555555555,0.046596434511566115,3,1 2 3,0.0,6.259001789614558,1725.9847797640093,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/mean/seed_1/20260518T015336_de6bbd96/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/mean/seed_2/20260518T020303_3b9810a3/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/mean/seed_3/20260518T021227_eb2553ae/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/mean/seed_1/20260518T015336_de6bbd96 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/mean/seed_2/20260518T020303_3b9810a3 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/mean/seed_3/20260518T021227_eb2553ae,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_015_rs_cpc_seed1_shot2/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022117/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_059_rs_cpc_seed2_shot2/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022217/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_103_rs_cpc_seed3_shot2/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022318/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,2,remoteclip_vit_b32,1,medoid,rs_cpc_M1_medoid,10,2.0,0.5726543209876543,0.08677903710166779,3,1 2 3,0.0,6.229281547168891,1734.019223844861,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/medoid/seed_1/20260518T015406_10b441d6/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/medoid/seed_2/20260518T020332_6fb73d16/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/medoid/seed_3/20260518T021257_0da50067/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/medoid/seed_1/20260518T015406_10b441d6 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/medoid/seed_2/20260518T020332_6fb73d16 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/medoid/seed_3/20260518T021257_0da50067,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_018_rs_cpc_seed1_shot2/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022121/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_062_rs_cpc_seed2_shot2/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022221/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_106_rs_cpc_seed3_shot2/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022322/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,2,remoteclip_vit_b32,1,random_group_mean,rs_cpc_M1_random_group_mean,10,2.0,0.6305555555555555,0.046596434511566115,3,1 2 3,0.0,6.220759080722928,1736.269407366149,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/random_group_mean/seed_1/20260518T015345_bbbc49d4/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/random_group_mean/seed_2/20260518T020312_922c37b0/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/random_group_mean/seed_3/20260518T021236_7fb78670/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/random_group_mean/seed_1/20260518T015345_bbbc49d4 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/random_group_mean/seed_2/20260518T020312_922c37b0 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_1/random_group_mean/seed_3/20260518T021236_7fb78670,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_016_rs_cpc_seed1_shot2/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022119/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_060_rs_cpc_seed2_shot2/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022219/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_104_rs_cpc_seed3_shot2/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022319/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
eurosat,2,remoteclip_vit_b32,2,medoid,rs_cpc_M2_medoid,20,1.0,0.677962962962963,0.02753972065929082,3,1 2 3,0.0,8.365110198035836,1291.1851475259655,,3,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_2/medoid/seed_1/20260518T015417_146ecd26/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_2/medoid/seed_2/20260518T020343_0b97e6d5/metrics.json results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_2/medoid/seed_3/20260518T021308_9a9d1c23/metrics.json,results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_2/medoid/seed_1/20260518T015417_146ecd26 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_2/medoid/seed_2/20260518T020343_0b97e6d5 results/raw/eurosat/remoteclip_vit_b32/rs_cpc/shot_2/M_2/medoid/seed_3/20260518T021308_9a9d1c23,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_019_rs_cpc_seed1_shot2/eurosat_remoteclip_vit_b32_rs_cpc_seed1/20260518T022123/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_063_rs_cpc_seed2_shot2/eurosat_remoteclip_vit_b32_rs_cpc_seed2/20260518T022223/result_run_preflight_report.json outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_107_rs_cpc_seed3_shot2/eurosat_remoteclip_vit_b32_rs_cpc_seed3/20260518T022323/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
